sample_block_idx,sample_start,sample_end_exclusive,total_rows,skipped_samples,evaluated_samples,correct,interval_acc,cumulative_evaluated_samples,cumulative_correct,cumulative_acc
251,25000,25100,100,0,100,95,0.95,23600,22425.0,0.9502118644067796
252,25100,25200,100,0,100,92,0.92,23700,22517.0,0.950084388185654
253,25200,25300,100,0,100,89,0.89,23800,22606.0,0.9498319327731093
254,25300,25400,100,0,100,93,0.93,23900,22699.0,0.9497489539748954
255,25400,25500,100,0,100,95,0.95,24000,22794.0,0.94975
256,25500,25600,100,0,100,95,0.95,24100,22889.0,0.9497510373443984
257,25600,25700,100,0,100,91,0.91,24200,22980.0,0.9495867768595041
258,25700,25800,100,0,100,97,0.97,24300,23077.0,0.9496707818930041
259,25800,25900,100,0,100,94,0.94,24400,23171.0,0.9496311475409837
260,25900,26000,100,0,100,94,0.94,24500,23265.0,0.9495918367346938
261,26000,26100,100,0,100,96,0.96,24600,23361.0,0.9496341463414634
262,26100,26200,100,0,100,94,0.94,24700,23455.0,0.9495951417004048
263,26200,26300,100,0,100,93,0.93,24800,23548.0,0.949516129032258
264,26300,26400,100,0,100,96,0.96,24900,23644.0,0.9495582329317269
265,26400,26500,100,0,100,93,0.93,25000,23737.0,0.94948
266,26500,26600,100,0,100,97,0.97,25100,23834.0,0.9495617529880478
267,26600,26700,100,0,100,88,0.88,25200,23922.0,0.9492857142857143
268,26700,26800,100,0,100,95,0.95,25300,24017.0,0.9492885375494071
269,26800,26900,100,0,100,94,0.94,25400,24111.0,0.949251968503937
270,26900,27000,100,0,100,98,0.98,25500,24209.0,0.9493725490196079
271,27000,27100,100,0,100,97,0.97,25600,24306.0,0.949453125
272,27100,27200,100,0,100,93,0.93,25700,24399.0,0.9493774319066148
273,27200,27300,100,0,100,95,0.95,25800,24494.0,0.9493798449612403
274,27300,27400,100,0,100,92,0.92,25900,24586.0,0.9492664092664093
275,27400,27500,100,0,100,96,0.96,26000,24682.0,0.9493076923076923
276,27500,27600,100,0,100,90,0.9,26100,24772.0,0.9491187739463601
277,27600,27700,100,0,100,97,0.97,26200,24869.0,0.9491984732824428
278,27700,27800,100,0,100,91,0.91,26300,24960.0,0.9490494296577947
279,27800,27900,100,0,100,95,0.95,26400,25055.0,0.9490530303030303
280,27900,28000,100,0,100,94,0.94,26500,25149.0,0.9490188679245283
281,28000,28100,100,0,100,94,0.94,26600,25243.0,0.948984962406015
282,28100,28200,100,0,100,90,0.9,26700,25333.0,0.9488014981273408
283,28200,28300,100,0,100,92,0.92,26800,25425.0,0.9486940298507462
284,28300,28400,100,0,100,95,0.95,26900,25520.0,0.9486988847583643
285,28400,28500,100,0,100,94,0.94,27000,25614.0,0.9486666666666667
286,28500,28600,100,0,100,96,0.96,27100,25710.0,0.9487084870848709
287,28600,28700,100,0,100,95,0.95,27200,25805.0,0.9487132352941177
288,28700,28800,100,0,100,94,0.94,27300,25899.0,0.9486813186813187
289,28800,28900,100,0,100,95,0.95,27400,25994.0,0.9486861313868613
290,28900,29000,100,0,100,97,0.97,27500,26091.0,0.9487636363636364
291,29000,29100,100,0,100,96,0.96,27600,26187.0,0.9488043478260869
292,29100,29200,100,0,100,92,0.92,27700,26279.0,0.9487003610108303
293,29200,29300,100,0,100,93,0.93,27800,26372.0,0.9486330935251799
294,29300,29400,100,0,100,98,0.98,27900,26470.0,0.9487455197132616
295,29400,29500,100,0,100,95,0.95,28000,26565.0,0.94875
296,29500,29600,100,0,100,97,0.97,28100,26662.0,0.9488256227758007
297,29600,29700,100,0,100,89,0.89,28200,26751.0,0.9486170212765958
298,29700,29800,100,0,100,95,0.95,28300,26846.0,0.9486219081272085
299,29800,29900,100,0,100,91,0.91,28400,26937.0,0.9484859154929578
300,29900,30000,100,0,100,91,0.91,28500,27028.0,0.9483508771929825
301,30000,30100,100,0,100,96,0.96,28600,27124.0,0.9483916083916084
302,30100,30200,100,0,100,97,0.97,28700,27221.0,0.9484668989547038
303,30200,30300,100,0,100,94,0.94,28800,27315.0,0.9484375
304,30300,30400,100,0,100,95,0.95,28900,27410.0,0.9484429065743945
305,30400,30500,100,0,100,90,0.9,29000,27500.0,0.9482758620689655
306,30500,30600,100,0,100,93,0.93,29100,27593.0,0.948213058419244
307,30600,30700,100,0,100,95,0.95,29200,27688.0,0.9482191780821918
308,30700,30800,100,0,100,97,0.97,29300,27785.0,0.9482935153583618
309,30800,30900,100,0,100,94,0.94,29400,27879.0,0.948265306122449
310,30900,31000,100,0,100,89,0.89,29500,27968.0,0.9480677966101695
311,31000,31100,100,0,100,93,0.93,29600,28061.0,0.9480067567567567
312,31100,31200,100,0,100,92,0.92,29700,28153.0,0.9479124579124579
313,31200,31300,100,0,100,96,0.96,29800,28249.0,0.9479530201342282
314,31300,31400,100,0,100,95,0.95,29900,28344.0,0.9479598662207358
315,31400,31500,100,0,100,95,0.95,30000,28439.0,0.9479666666666666
316,31500,31600,100,0,100,96,0.96,30100,28535.0,0.9480066445182724
317,31600,31700,100,0,100,93,0.93,30200,28628.0,0.9479470198675497
318,31700,31800,100,0,100,93,0.93,30300,28721.0,0.9478877887788779
319,31800,31900,100,0,100,94,0.94,30400,28815.0,0.9478618421052631
320,31900,32000,100,0,100,92,0.92,30500,28907.0,0.9477704918032787
321,32000,32100,100,0,100,99,0.99,30600,29006.0,0.9479084967320262
322,32100,32200,100,0,100,93,0.93,30700,29099.0,0.9478501628664495
323,32200,32300,100,0,100,97,0.97,30800,29196.0,0.9479220779220779
324,32300,32400,100,0,100,94,0.94,30900,29290.0,0.9478964401294498
325,32400,32500,100,0,100,97,0.97,31000,29387.0,0.9479677419354838
326,32500,32600,100,0,100,96,0.96,31100,29483.0,0.9480064308681672
327,32600,32700,100,0,100,92,0.92,31200,29575.0,0.9479166666666666
328,32700,32800,100,0,100,93,0.93,31300,29668.0,0.9478594249201278
329,32800,32900,100,0,100,95,0.95,31400,29763.0,0.9478662420382166
330,32900,33000,100,0,100,96,0.96,31500,29859.0,0.9479047619047619
331,33000,33100,100,0,100,97,0.97,31600,29956.0,0.9479746835443038
332,33100,33200,100,0,100,96,0.96,31700,30052.0,0.9480126182965299
333,33200,33300,100,0,100,94,0.94,31800,30146.0,0.9479874213836478
334,33300,33400,100,0,100,90,0.9,31900,30236.0,0.9478369905956113
335,33400,33500,100,0,100,92,0.92,32000,30328.0,0.94775
336,33500,33600,100,0,100,95,0.95,32100,30423.0,0.9477570093457944
337,33600,33700,100,0,100,96,0.96,32200,30519.0,0.9477950310559006
338,33700,33800,100,0,100,93,0.93,32300,30612.0,0.9477399380804954
339,33800,33900,100,0,100,97,0.97,32400,30709.0,0.9478086419753087
340,33900,34000,100,0,100,91,0.91,32500,30800.0,0.9476923076923077
341,34000,34100,100,0,100,96,0.96,32600,30896.0,0.9477300613496933
342,34100,34200,100,0,100,91,0.91,32700,30987.0,0.9476146788990826
343,34200,34300,100,0,100,98,0.98,32800,31085.0,0.9477134146341464
344,34300,34400,100,0,100,91,0.91,32900,31176.0,0.9475987841945289
345,34400,34500,100,0,100,95,0.95,33000,31271.0,0.9476060606060606
346,34500,34600,100,0,100,96,0.96,33100,31367.0,0.9476435045317221
347,34600,34700,100,0,100,94,0.94,33200,31461.0,0.9476204819277109
348,34700,34800,100,0,100,92,0.92,33300,31553.0,0.9475375375375376
349,34800,34900,100,0,100,89,0.89,33400,31642.0,0.9473652694610778
350,34900,35000,100,0,100,94,0.94,33500,31736.0,0.9473432835820895
351,35000,35100,100,0,100,93,0.93,33600,31829.0,0.9472916666666666
352,35100,35200,100,0,100,97,0.97,33700,31926.0,0.9473590504451038
353,35200,35300,100,0,100,96,0.96,33800,32022.0,0.947396449704142
354,35300,35400,100,0,100,96,0.96,33900,32118.0,0.947433628318584
355,35400,35500,100,0,100,93,0.93,34000,32211.0,0.9473823529411765
356,35500,35600,100,0,100,85,0.85,34100,32296.0,0.9470967741935484
357,35600,35700,100,0,100,96,0.96,34200,32392.0,0.9471345029239766
358,35700,35800,100,0,100,93,0.93,34300,32485.0,0.9470845481049562
359,35800,35900,100,0,100,98,0.98,34400,32583.0,0.9471802325581395
360,35900,36000,100,0,100,92,0.92,34500,32675.0,0.9471014492753623
361,36000,36100,100,0,100,91,0.91,34600,32766.0,0.9469942196531792
362,36100,36200,100,0,100,99,0.99,34700,32865.0,0.9471181556195966
363,36200,36300,100,0,100,96,0.96,34800,32961.0,0.9471551724137931
364,36300,36400,100,0,100,89,0.89,34900,33050.0,0.9469914040114613
365,36400,36500,100,0,100,91,0.91,35000,33141.0,0.9468857142857143
366,36500,36600,100,0,100,93,0.93,35100,33234.0,0.9468376068376069
367,36600,36700,100,0,100,97,0.97,35200,33331.0,0.9469034090909091
368,36700,36800,100,0,100,90,0.9,35300,33421.0,0.9467705382436261
369,36800,36900,100,0,100,96,0.96,35400,33517.0,0.9468079096045198
370,36900,37000,100,0,100,95,0.95,35500,33612.0,0.9468169014084507
371,37000,37100,100,0,100,93,0.93,35600,33705.0,0.9467696629213483
372,37100,37200,100,0,100,88,0.88,35700,33793.0,0.9465826330532213
373,37200,37300,100,0,100,98,0.98,35800,33891.0,0.9466759776536313
374,37300,37400,100,0,100,93,0.93,35900,33984.0,0.9466295264623955
375,37400,37500,100,0,100,92,0.92,36000,34076.0,0.9465555555555556
376,37500,37600,100,0,100,92,0.92,36100,34168.0,0.9464819944598338
377,37600,37700,100,0,100,94,0.94,36200,34262.0,0.9464640883977901
378,37700,37800,100,0,100,94,0.94,36300,34356.0,0.9464462809917356
379,37800,37900,100,0,100,96,0.96,36400,34452.0,0.9464835164835165
380,37900,38000,100,0,100,94,0.94,36500,34546.0,0.9464657534246576
381,38000,38100,100,0,100,94,0.94,36600,34640.0,0.946448087431694
