window_id,sample_start,sample_end,n_eval,correct_estimated,interval_acc,cumulative_correct_estimated,cumulative_n_eval,cumulative_acc
333,34224,34323,100.0,87.0,0.870000,30241.0,33300.0,0.908138
334,34324,34423,100.0,89.0,0.890000,30330.0,33400.0,0.908084
335,34424,34523,100.0,98.0,0.980000,30428.0,33500.0,0.908299
336,34524,34623,100.0,98.0,0.980000,30526.0,33600.0,0.908512
337,34624,34723,100.0,97.0,0.970000,30623.0,33700.0,0.908694
338,34724,34823,100.0,92.0,0.920000,30715.0,33800.0,0.908728
339,34824,34923,100.0,100.0,1.000000,30815.0,33900.0,0.908997
340,34924,35023,100.0,100.0,1.000000,30915.0,34000.0,0.909265
341,35024,35123,100.0,97.25,0.972500,31012.25,34100.0,0.909450
342,35124,35223,100.0,95.75,0.957500,31108.0,34200.0,0.909591
343,35224,35323,100.0,100.0,1.000000,31208.0,34300.0,0.909854
344,35324,35423,100.0,99.0,0.990000,31307.0,34400.0,0.910087
345,35424,35523,100.0,96.0,0.960000,31403.0,34500.0,0.910232
346,35524,35623,100.0,94.0,0.940000,31497.0,34600.0,0.910318
347,35624,35723,100.0,100.0,1.000000,31597.0,34700.0,0.910576
348,35724,35823,100.0,99.0,0.990000,31696.0,34800.0,0.910805
349,35824,35923,100.0,94.0,0.940000,31790.0,34900.0,0.910888
350,35924,36023,100.0,94.0,0.940000,31884.0,35000.0,0.910971
351,36024,36123,100.0,100.0,1.000000,31984.0,35100.0,0.911225
352,36124,36223,100.0,100.0,1.000000,32084.0,35200.0,0.911477
353,36224,36323,100.0,96.0,0.960000,32180.0,35300.0,0.911615
354,36324,36423,100.0,97.0,0.970000,32277.0,35400.0,0.911780
355,36424,36523,100.0,100.0,1.000000,32377.0,35500.0,0.912028
356,36524,36623,100.0,100.0,1.000000,32477.0,35600.0,0.912275
357,36624,36723,100.0,94.0,0.940000,32571.0,35700.0,0.912353
358,36724,36823,100.0,98.0,0.980000,32669.0,35800.0,0.912542
359,36824,36923,100.0,100.0,1.000000,32769.0,35900.0,0.912786
360,36924,37023,100.0,98.0,0.980000,32867.0,36000.0,0.912972
361,37024,37123,100.0,95.5,0.955000,32962.5,36100.0,0.913089
362,37124,37223,100.0,95.5,0.955000,33058.0,36200.0,0.913204
363,37224,37323,100.0,100.0,1.000000,33158.0,36300.0,0.913444
364,37324,37423,100.0,98.0,0.980000,33256.0,36400.0,0.913626
365,37424,37523,100.0,95.75,0.957500,33351.75,36500.0,0.913747
366,37524,37623,100.0,96.25,0.962500,33448.0,36600.0,0.913880
367,37624,37723,100.0,100.0,1.000000,33548.0,36700.0,0.914114
368,37724,37823,100.0,100.0,1.000000,33648.0,36800.0,0.914348
369,37824,37923,100.0,99.0,0.990000,33747.0,36900.0,0.914553
370,37924,38023,100.0,100.0,1.000000,33847.0,37000.0,0.914784
371,38024,38123,100.0,97.0,0.970000,33944.0,37100.0,0.914933
372,38124,38223,100.0,99.0,0.990000,34043.0,37200.0,0.915134
373,38224,38323,100.0,99.0,0.990000,34142.0,37300.0,0.915335
374,38324,38423,100.0,100.0,1.000000,34242.0,37400.0,0.915561
375,38424,38523,100.0,100.0,1.000000,34342.0,37500.0,0.915787
376,38524,38623,100.0,100.0,1.000000,34442.0,37600.0,0.916011
377,38624,38723,100.0,97.0,0.970000,34539.0,37700.0,0.916154
378,38724,38823,100.0,100.0,1.000000,34639.0,37800.0,0.916376
379,38824,38923,100.0,100.0,1.000000,34739.0,37900.0,0.916596
380,38924,39023,100.0,98.0,0.980000,34837.0,38000.0,0.916763
381,39024,39123,100.0,97.0,0.970000,34934.0,38100.0,0.916903
382,39124,39223,100.0,100.0,1.000000,35034.0,38200.0,0.917120
